file,original-words,first-prose
./CONDUCT.md,439,
./CONTRIBUTING.md,1352,
./LICENSE.md,925,
./README.md,5,
./authors.md,36,
./bib.md,492,
async-programming/index.md,1556,2561
build-manager/index.md,1407,
code-generator/index.md,512,
data-table/index.md,1035,
debugger/index.md,1060,
doc-generator/index.md,667,
file-backup/index.md,991,
file-interpolator/index.md,1024,
./gloss-vol1.md,8735,
http-server/index.md,839,
layout-engine/index.md,1271,
./links.md,30,
module-bundler/index.md,1367,
module-loader/index.md,1045,
package-manager/index.md,1474,
page-templates/index.md,658,
pattern-matching/index.md,1198,
regex-parser/index.md,865,
style-checker/index.md,958,
systems-programming/index.md,1898,2562
text-editor/index.md,1338,
unit-test/index.md,969,
virtual-machine/index.md,1306,
vol1-conclusion/index.md,126,
vol1-intro/index.md,965,
total,38950,
